구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,6.0,6,10.0,9.0,9.0,8.0
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),37.0,37,37.0,38.0,39.0,39.0
정규직,일반 정규직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,29.8,32,33.5,33.25,35.5,33.63
정규직,일반 정규직,현원,전일제,29.0,32,31.0,31.0,33.0,33.0
정규직,일반 정규직,현원,단시간,0.8,0,2.5,2.25,2.5,0.63
정규직,무기 계약직,정원,계(C),5.0,5,5.0,5.0,5.0,5.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,4.0,4,5.0,5.0,4.0,5.0
정규직,무기 계약직,현원,전일제,4.0,4,5.0,5.0,4.0,5.0
정규직,무기 계약직,현원,단시간,0.0,0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),43.0,43,43.0,44.0,45.0,45.0
