구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,4.0,4.0,4.0,4.0,4.0,3.0
임원,임원,이사,비상임,9.0,9.0,9.0,9.0,9.0,9.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),6.0,6.0,6.0,6.0,6.0,6.0
정규직,일반 정규직,정원,계(B),7472.0,7653.0,7770.0,8195.0,8439.0,8324.0
정규직,일반 정규직,정원,(별도정원),152.0,124.0,136.0,106.0,111.0,113.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,6952.08,7081.75,7051.5,7403.63,7645.5,7846.88
정규직,일반 정규직,현원,전일제,6913.0,7032.0,7004.0,7362.0,7597.0,7777.0
정규직,일반 정규직,현원,단시간,39.08,49.75,47.5,41.63,48.5,69.88
정규직,무기 계약직,정원,계(C),1388.13,1821.63,1835.63,1865.63,1820.63,1747.63
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,1167.93,1480.0,1499.5,1596.38,1555.88,1599.13
정규직,무기 계약직,현원,전일제,1053.0,1341.0,1383.0,1488.0,1460.0,1489.0
정규직,무기 계약직,현원,단시간,114.93,139.0,116.5,108.38,95.88,110.13
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),8866.13,9480.63,9611.63,10066.63,10265.63,10077.63
