구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,3.0,2.0,3.0,3.0,2.0
임원,임원,이사,비상임,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),4.0,4.0,4.0,4.0,4.0,4.0
정규직,일반 정규직,정원,계(B),172.0,173.0,190.0,191.0,186.0,180.0
정규직,일반 정규직,정원,(별도정원),5.0,6.0,12.0,13.0,7.0,6.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,165.0,168.53,187.5,184.8,176.78,168.6
정규직,일반 정규직,현원,전일제,163.0,163.0,183.0,179.0,171.0,161.0
정규직,일반 정규직,현원,단시간,2.0,5.525,4.5,5.8,5.775,7.6
정규직,무기 계약직,정원,계(C),16.0,29.0,29.0,29.0,30.0,29.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,14.63,28.63,26.53,26.63,26.63,23.55
정규직,무기 계약직,현원,전일제,14.0,28.0,25.0,26.0,26.0,22.0
정규직,무기 계약직,현원,단시간,0.625,0.625,1.525,0.625,0.625,1.55
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),192.0,206.0,223.0,224.0,220.0,213.0
