구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,이사,상임 현원,6.0,6.0,6.0,6.0,6.0,5.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),8.0,8.0,8.0,8.0,8.0,8.0
정규직,일반 정규직,정원,계(B),1042.0,1073.0,1117.0,1157.0,1198.0,1178.0
정규직,일반 정규직,정원,(별도정원),38.0,36.0,36.0,42.0,40.0,38.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1016.64,1030.15,1061.1,1104.95,1122.36,1134.0
정규직,일반 정규직,현원,전일제,1012.0,1022.0,1054.0,1097.0,1113.0,1121.0
정규직,일반 정규직,현원,단시간,4.64,8.15,7.1,7.95,9.36,13.0
정규직,무기 계약직,정원,계(C),269.6,269.6,269.6,269.6,269.6,235.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,235.5,224.0,230.63,235.31,208.0,197.44
정규직,무기 계약직,현원,전일제,234.0,221.0,223.0,224.0,200.0,181.0
정규직,무기 계약직,현원,단시간,1.5,3.0,7.63,11.31,8.0,16.44
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1319.6,1350.6,1394.6,1434.6,1475.6,1421.0
