구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,0.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,이사,상임 현원,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,7.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),8.0,8.0,8.0,8.0,8.0,8.0
정규직,일반 정규직,정원,계(B),1383.0,1418.0,1465.0,1521.0,1582.0,1579.0
정규직,일반 정규직,정원,(별도정원),45.0,44.0,46.0,54.0,71.0,77.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1338.38,1394.5,1451.13,1498.63,1518.01,1536.13
정규직,일반 정규직,현원,전일제,1318.0,1378.0,1435.0,1486.0,1507.0,1518.0
정규직,일반 정규직,현원,단시간,20.38,16.5,16.13,12.63,11.01,18.13
정규직,무기 계약직,정원,계(C),254.0,256.0,256.0,256.0,256.0,244.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,238.0,244.0,244.88,243.75,237.13,230.25
정규직,무기 계약직,현원,전일제,238.0,244.0,244.0,243.0,235.0,229.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.88,0.75,2.13,1.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1645.0,1682.0,1729.0,1785.0,1846.0,1831.0
