구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,0,1,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,0,1,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0,2,2,2.0,2.0,2.0
임원,임원,이사,상임 현원,0,1,2,1.0,1.0,2.0
임원,임원,이사,비상임,0,0,4,4.0,4.0,4.0
임원,임원,감사,상임 정원,0,0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0,0,0.0,0.0,0.0
임원,임원,감사,비상임,0,0,1,1.0,1.0,1.0
임원,임원,기타,기타,0,0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),0,3,3,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),0,6738,6768,6314.0,6314.0,5273.0
정규직,일반 정규직,정원,(별도정원),0,0,0,0.0,0.0,0.0
정규직,일반 정규직,정원,(탄력정원),0,0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,0,5176,5495,5407.1,5107.1,4800.1
정규직,일반 정규직,현원,전일제,0,5157,5476,5397.0,5097.0,4790.0
정규직,일반 정규직,현원,단시간,0,19,19,10.1,10.1,10.1
정규직,무기 계약직,정원,계(C),0,0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(별도정원),0,0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,0,0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,전일제,0,0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,단시간,0,0,0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),0,6741,6771,6317.0,6317.0,5276.0
