구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,8.0,8.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),5571.0,5594.0,5519.0,5470.0,5507.0,5355.0
정규직,일반 정규직,정원,(별도정원),452.0,475.0,400.0,351.0,348.0,379.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,5184.75,5320.75,5383.75,5540.88,5533.0,5480.38
정규직,일반 정규직,현원,전일제,5148.0,5281.0,5344.0,5492.0,5485.0,5434.0
정규직,일반 정규직,현원,단시간,36.75,39.75,39.75,48.88,48.0,46.38
정규직,무기 계약직,정원,계(C),1191.0,1210.0,1230.0,1231.0,1229.0,1204.0
정규직,무기 계약직,정원,(별도정원),6.0,25.0,45.0,46.0,44.0,47.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,1209.75,1130.0,1078.75,1194.25,1171.53,1189.88
정규직,무기 계약직,현원,전일제,1144.0,1061.0,1007.0,1121.0,1101.0,1115.0
정규직,무기 계약직,현원,단시간,65.75,69.0,71.75,73.25,70.53,74.88
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),6769.0,6811.0,6756.0,6708.0,6743.0,6566.0
