구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),714.0,740.0,783.0,823.0,848.0,840.0
정규직,일반 정규직,정원,(별도정원),11.0,4.0,10.0,15.0,10.0,10.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,700.0,733.5,773.0,818.38,844.81,845.75
정규직,일반 정규직,현원,전일제,687.0,718.0,756.0,800.0,821.0,822.0
정규직,일반 정규직,현원,단시간,13.0,15.5,17.0,18.38,23.81,23.75
정규직,무기 계약직,정원,계(C),146.0,162.0,162.0,165.0,166.0,150.0
정규직,무기 계약직,정원,(별도정원),1.0,1.0,0.0,0.0,1.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,119.69,136.69,135.5,142.25,144.25,146.24
정규직,무기 계약직,현원,전일제,119.0,136.0,132.0,141.0,142.0,141.0
정규직,무기 계약직,현원,단시간,0.69,0.69,3.5,1.25,2.25,5.24
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),867.0,909.0,952.0,995.0,1021.0,997.0
