구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0
임원,임원,이사,상임 정원,4.0,4.0,4.0,4.0,4.0,4
임원,임원,이사,상임 현원,4.0,4.0,4.0,4.0,4.0,4
임원,임원,이사,비상임,6.0,6.0,6.0,6.0,6.0,6
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5
정규직,일반 정규직,정원,계(B),1985.0,2084.0,2099.0,2104.0,2161.0,2086
정규직,일반 정규직,정원,(별도정원),44.0,46.0,43.0,40.0,49.0,69
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0
정규직,일반 정규직,현원,계,1778.63,2046.25,2055.0,2090.25,2055.63,2051
정규직,일반 정규직,현원,전일제,1778.0,2044.0,2047.0,2085.0,2049.0,2045
정규직,일반 정규직,현원,단시간,0.63,2.25,8.0,5.25,6.63,6
정규직,무기 계약직,정원,계(C),40.0,40.0,42.0,42.0,44.0,45
정규직,무기 계약직,정원,(별도정원),0.0,0.0,1.0,1.0,1.0,2
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0
정규직,무기 계약직,현원,계,39.75,39.75,39.75,42.25,41.75,40
정규직,무기 계약직,현원,전일제,39.0,39.0,39.0,41.0,41.0,40
정규직,무기 계약직,현원,단시간,0.75,0.75,0.75,1.25,0.75,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2030.0,2129.0,2146.0,2151.0,2210.0,2136
