구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,9.0,9.0,9.0,9.0,9.0,10.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),587.0,633.0,686.0,776.0,814.0,750.0
정규직,일반 정규직,정원,(별도정원),18.0,18.0,16.0,29.0,29.0,22.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,577.88,621.75,642.38,790.38,804.75,758.63
정규직,일반 정규직,현원,전일제,576.0,618.0,638.0,786.0,800.0,751.0
정규직,일반 정규직,현원,단시간,1.88,3.75,4.38,4.38,4.75,7.63
정규직,무기 계약직,정원,계(C),94.0,94.0,95.0,95.0,106.0,106.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,51.38,89.38,77.5,56.38,75.63,66.63
정규직,무기 계약직,현원,전일제,47.0,83.0,64.0,45.0,66.0,55.0
정규직,무기 계약직,현원,단시간,4.38,6.38,13.5,11.38,9.63,11.63
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),684.0,730.0,784.0,874.0,923.0,859.0
