구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1,1.0,1,1.0
임원,임원,기관장,상임 현원,1,1.0,1,1.0,1,1.0
임원,임원,기관장,비상임,0,0.0,0,0.0,0,0.0
임원,임원,이사,상임 정원,0,1.0,1,1.0,1,1.0
임원,임원,이사,상임 현원,0,0.0,1,1.0,1,0.0
임원,임원,이사,비상임,8,8.0,8,8.0,8,8.0
임원,임원,감사,상임 정원,0,0.0,0,0.0,0,0.0
임원,임원,감사,상임 현원,0,0.0,0,0.0,0,0.0
임원,임원,감사,비상임,1,1.0,1,1.0,0,0.0
임원,임원,기타,기타,0,0.0,0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,2.0,2,2.0,2,2.0
정규직,일반 정규직,정원,계(B),343,398.0,410,419.0,428,436.0
정규직,일반 정규직,정원,(별도정원),7,6.0,8,6.0,3,11.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0,0.0,0,0.0
정규직,일반 정규직,현원,계,328,381.5,395,416.25,411,416.25
정규직,일반 정규직,현원,전일제,326,380.0,393,414.0,408,414.0
정규직,일반 정규직,현원,단시간,2,1.5,2,2.25,3,2.25
정규직,무기 계약직,정원,계(C),77,77.0,77,79.0,84,84.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0,0.0,0,0.0
정규직,무기 계약직,현원,계,9,76.0,75,76.0,80,79.0
정규직,무기 계약직,현원,전일제,9,76.0,75,76.0,80,79.0
정규직,무기 계약직,현원,단시간,0,0.0,0,0.0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),421,477.0,489,500.0,514,522.0
