구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1,1.0,1.0,1,1.0
임원,임원,기관장,상임 현원,1,1,1.0,1.0,1,1.0
임원,임원,기관장,비상임,0,0,0.0,0.0,0,0.0
임원,임원,이사,상임 정원,0,0,0.0,0.0,0,0.0
임원,임원,이사,상임 현원,0,0,0.0,0.0,0,0.0
임원,임원,이사,비상임,0,0,0.0,0.0,0,0.0
임원,임원,감사,상임 정원,0,0,0.0,0.0,0,0.0
임원,임원,감사,상임 현원,0,0,0.0,0.0,0,0.0
임원,임원,감사,비상임,1,1,1.0,1.0,1,1.0
임원,임원,기타,기타,0,0,0.0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1,1.0,1.0,1,1.0
정규직,일반 정규직,정원,계(B),106,110,112.0,114.0,116,117.0
정규직,일반 정규직,정원,(별도정원),0,0,0.0,0.0,2,3.0
정규직,일반 정규직,정원,(탄력정원),0,0,0.0,0.0,0,0.0
정규직,일반 정규직,현원,계,100,102,107.38,106.98,110,113.88
정규직,일반 정규직,현원,전일제,100,102,107.0,104.0,110,113.0
정규직,일반 정규직,현원,단시간,0,0,0.38,2.98,0,0.88
정규직,무기 계약직,정원,계(C),19,19,19.0,19.0,19,19.0
정규직,무기 계약직,정원,(별도정원),0,0,0.0,0.0,0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,계,18,18,19.0,17.0,17,19.0
정규직,무기 계약직,현원,전일제,18,18,19.0,17.0,17,19.0
정규직,무기 계약직,현원,단시간,0,0,0.0,0.0,0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),126,130,132.0,134.0,136,137.0
