구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,5.0,4.0,4.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),6.0,6.0,6.0,6.0,6.0,6.0
정규직,일반 정규직,정원,계(B),2504.0,2585.0,2666.75,2731.0,2743.0,2694.0
정규직,일반 정규직,정원,(별도정원),104.0,104.0,104.0,121.0,129.0,138.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,2148.0,2455.5,2472.75,2581.75,2529.25,2543.75
정규직,일반 정규직,현원,전일제,2148.0,2454.0,2472.0,2581.0,2527.0,2540.0
정규직,일반 정규직,현원,단시간,0.0,1.5,0.75,0.75,2.25,3.75
정규직,무기 계약직,정원,계(C),31.0,31.0,31.0,31.0,21.0,21.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,7.75,7.0,5.0,6.0,14.0,18.0
정규직,무기 계약직,현원,전일제,7.0,7.0,5.0,6.0,14.0,18.0
정규직,무기 계약직,현원,단시간,0.75,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2541.0,2622.0,2703.75,2768.0,2770.0,2721.0
