구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1
임원,임원,기관장,상임 현원,1.0,1.0,0.0,1.0,1.0,1
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6.0,6.0,6
임원,임원,이사,상임 현원,6.0,6.0,6.0,6.0,6.0,5
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7
정규직,일반 정규직,정원,계(B),6793.0,7100.0,7317.0,6738.0,6712.0,6696
정규직,일반 정규직,정원,(별도정원),111.0,100.0,198.0,264.0,276.0,326
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0
정규직,일반 정규직,현원,계,6640.38,6994.5,7150.5,7116.5,6986.25,6665
정규직,일반 정규직,현원,전일제,6636.0,6984.0,7146.0,7112.0,6978.0,6656
정규직,일반 정규직,현원,단시간,4.38,10.5,4.5,4.5,8.25,9
정규직,무기 계약직,정원,계(C),2289.0,2349.0,2359.0,2234.0,2232.0,2168
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0
정규직,무기 계약직,현원,계,2166.25,2216.75,2298.5,2160.0,2035.75,2052
정규직,무기 계약직,현원,전일제,2035.0,2063.0,2126.0,1998.0,1876.0,1902
정규직,무기 계약직,현원,단시간,131.25,153.75,172.5,162.0,159.75,150
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),9089.0,9456.0,9683.0,8979.0,8951.0,8871
