구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,0.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,4.0,4.0,4.0,4.0,5.0,5.0
임원,임원,이사,비상임,7.0,7.0,7.0,6.0,7.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),6.0,6.0,6.0,6.0,6.0,6.0
정규직,일반 정규직,정원,계(B),1623.0,1627.0,1668.0,1666.0,1651.0,1660.0
정규직,일반 정규직,정원,(별도정원),13.0,8.0,11.0,9.0,17.0,16.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1365.08,1480.5,1538.89,1584.85,1600.25,1608.63
정규직,일반 정규직,현원,전일제,1336.0,1448.0,1505.0,1558.0,1595.0,1601.0
정규직,일반 정규직,현원,단시간,29.075,32.5,33.8875,26.85,5.25,7.625
정규직,무기 계약직,정원,계(C),8.0,8.0,268.0,268.0,273.0,280.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,1.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,3.0,8.0,234.55,230.83,243.88,263.0
정규직,무기 계약직,현원,전일제,3.0,8.0,232.0,229.0,243.0,263.0
정규직,무기 계약직,현원,단시간,0.0,0.0,2.55,1.825,0.88,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1637.0,1641.0,1942.0,1940.0,1930.0,1946.0
