구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,비상임,5.0,6.0,6.0,6.0,5.0,5.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),553.0,602.0,610.0,639.0,655.0,648.0
정규직,일반 정규직,정원,(별도정원),16.0,18.0,16.0,14.0,15.0,22.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,525.0,574.66,573.05,595.63,655.06,645.8
정규직,일반 정규직,현원,전일제,514.0,567.0,564.0,592.0,649.0,639.0
정규직,일반 정규직,현원,단시간,11.0,7.66,9.05,3.63,6.06,6.8
정규직,무기 계약직,정원,계(C),94.0,94.0,94.0,94.0,94.0,93.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,90.0,86.5,85.5,83.38,83.63,82.25
정규직,무기 계약직,현원,전일제,88.0,84.0,83.0,80.0,79.0,79.0
정규직,무기 계약직,현원,단시간,2.0,2.5,2.5,3.38,4.63,3.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),654.0,703.0,711.0,740.0,756.0,748.0
