구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,이사,상임 현원,5.0,2.0,5.0,4.0,5.0,6.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),4959.0,5197.0,5419.0,5590.0,5650.0,5549.0
정규직,일반 정규직,정원,(별도정원),119.0,143.0,148.0,158.0,149.0,147.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,4794.75,5052.25,5242.0,5436.0,5582.5,5502.25
정규직,일반 정규직,현원,전일제,4763.0,5017.0,5202.0,5396.0,5543.0,5462.0
정규직,일반 정규직,현원,단시간,31.75,35.25,40.0,40.0,39.5,40.25
정규직,무기 계약직,정원,계(C),912.0,908.0,911.0,911.0,927.0,808.0
정규직,무기 계약직,정원,(별도정원),4.0,0.0,3.0,3.0,3.0,6.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,829.0,831.38,855.5,868.63,853.25,809.75
정규직,무기 계약직,현원,전일제,826.0,831.0,854.0,864.0,851.0,809.0
정규직,무기 계약직,현원,단시간,3.0,0.38,1.5,4.63,2.25,0.75
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),5878.0,6112.0,6337.0,6508.0,6584.0,6364.0
