구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,비상임,7.0,7.0,7.0,7.0,7.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),6.0,6.0,6.0,6.0,6.0,6.0
정규직,일반 정규직,정원,계(B),12250.0,12460.0,12451.0,12477.0,12648.0,12666.0
정규직,일반 정규직,정원,(별도정원),475.0,408.0,320.0,353.0,490.0,545.0
정규직,일반 정규직,정원,(탄력정원),0.0,41.0,123.0,123.0,123.0,73.0
정규직,일반 정규직,현원,계,12025.73,12131.38,12198.73,12299.03,12452.75,12539.83
정규직,일반 정규직,현원,전일제,11978.0,12083.0,12152.0,12256.0,12411.0,12497.0
정규직,일반 정규직,현원,단시간,47.73,48.38,46.73,43.03,41.75,42.83
정규직,무기 계약직,정원,계(C),76.0,125.0,131.0,166.0,167.0,167.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,1.0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,77.0,114.0,117.0,123.0,158.0,161.0
정규직,무기 계약직,현원,전일제,77.0,114.0,117.0,123.0,158.0,161.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),12332.0,12591.0,12588.0,12649.0,12821.0,12839.0
