구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,0.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,7.0,6.0,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),220.0,224.0,223.0,224.0,231.0,203.0
정규직,일반 정규직,정원,(별도정원),3.0,9.0,8.0,9.0,16.0,11.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,185.0,183.75,195.75,200.0,203.0,213.0
정규직,일반 정규직,현원,전일제,185.0,183.0,195.0,200.0,203.0,213.0
정규직,일반 정규직,현원,단시간,0.0,0.75,0.75,0.0,0.0,0.0
정규직,무기 계약직,정원,계(C),1234.0,1236.0,1236.0,1236.0,1236.0,971.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,1274.03,1245.75,1186.61,1090.46,1159.69,1127.96
정규직,무기 계약직,현원,전일제,1146.0,1127.0,1075.0,994.0,1045.0,1023.0
정규직,무기 계약직,현원,단시간,128.03,118.75,111.61,96.46,114.69,104.96
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1455.0,1461.0,1460.0,1461.0,1468.0,1175.0
