구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,이사,상임 현원,7.0,8.0,8.0,4.0,7.0,7.0
임원,임원,이사,비상임,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),9.0,9.0,9.0,9.0,9.0,9.0
정규직,일반 정규직,정원,계(B),397.0,428.0,426.0,439.0,461.0,446.0
정규직,일반 정규직,정원,(별도정원),20.0,22.0,12.0,11.0,19.0,17.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,392.75,415.4,421.8,442.4,429.5,422.6
정규직,일반 정규직,현원,전일제,390.0,413.0,420.0,441.0,428.0,422.0
정규직,일반 정규직,현원,단시간,2.75,2.4,1.8,1.4,1.5,0.6
정규직,무기 계약직,정원,계(C),60.0,60.0,98.0,98.0,98.0,92.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,54.53,57.13,95.55,89.98,96.83,91.73
정규직,무기 계약직,현원,전일제,50.0,53.0,91.0,86.0,92.0,88.0
정규직,무기 계약직,현원,단시간,4.53,4.13,4.55,3.98,4.83,3.73
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),466.0,497.0,533.0,546.0,568.0,547.0
