구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0,0.0,0.0,0.0
임원,임원,이사,비상임,13.0,14,14,14.0,14.0,14.0
임원,임원,감사,상임 정원,0.0,0,0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0,0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1,1,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0,0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),90.0,108,110,116.0,120.0,117.0
정규직,일반 정규직,정원,(별도정원),0.0,0,0,1.0,3.0,2.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,84.75,100,101,108.5,116.63,106.25
정규직,일반 정규직,현원,전일제,84.0,100,101,107.0,114.0,105.0
정규직,일반 정규직,현원,단시간,0.75,0,0,1.5,2.625,1.25
정규직,무기 계약직,정원,계(C),7.0,7,7,7.0,7.0,7.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,7.0,6,6,7.0,5.0,5.0
정규직,무기 계약직,현원,전일제,7.0,6,6,7.0,5.0,5.0
정규직,무기 계약직,현원,단시간,0.0,0,0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),98.0,116,118,124.0,128.0,125.0
