구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1,1.0
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0,0.0
임원,임원,이사,상임 정원,4.0,4,4.0,4.0,4,4.0
임원,임원,이사,상임 현원,4.0,4,3.0,4.0,4,4.0
임원,임원,이사,비상임,9.0,9,15.0,10.0,10,10.0
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0,0.0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0,0.0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1,1.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5,5.0,5.0,5,5.0
정규직,일반 정규직,정원,계(B),382.0,434,448.0,459.0,466,456.0
정규직,일반 정규직,정원,(별도정원),8.0,9,11.0,12.0,10,3.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0,0.0
정규직,일반 정규직,현원,계,367.63,417,443.0,441.51,463,453.0
정규직,일반 정규직,현원,전일제,366.0,414,440.0,438.0,460,450.0
정규직,일반 정규직,현원,단시간,1.63,3,3.0,3.51,3,3.0
정규직,무기 계약직,정원,계(C),136.0,134,133.0,133.0,133,124.0
정규직,무기 계약직,정원,(별도정원),3.0,1,0.0,0.0,0,1.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0,0.0
정규직,무기 계약직,현원,계,127.0,119,113.38,112.5,112,113.25
정규직,무기 계약직,현원,전일제,126.0,119,112.0,112.0,112,111.0
정규직,무기 계약직,현원,단시간,1.0,0,1.38,0.5,0,2.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),523.0,573,586.0,597.0,604,585.0
