구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,비상임,6.0,6.0,6.0,6.0,4.0,6.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),1379.0,1474.0,1512.0,1558.0,1524.0,1531.0
정규직,일반 정규직,정원,(별도정원),69.0,50.0,56.0,52.0,39.0,46.0
정규직,일반 정규직,정원,(탄력정원),10.0,10.0,10.0,10.0,0.0,0.0
정규직,일반 정규직,현원,계,1356.5,1451.13,1498.13,1548.4,1550.0,1574.88
정규직,일반 정규직,현원,전일제,1341.0,1433.0,1478.0,1528.0,1532.0,1557.0
정규직,일반 정규직,현원,단시간,15.5,18.13,20.13,20.4,18.0,17.88
정규직,무기 계약직,정원,계(C),283.3,283.3,294.3,301.3,312.3,312.3
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,253.73,243.93,239.65,246.03,283.5,293.35
정규직,무기 계약직,현원,전일제,228.0,221.0,218.0,224.0,249.0,260.0
정규직,무기 계약직,현원,단시간,25.73,22.93,21.65,22.03,34.5,33.35
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1667.3,1762.3,1811.3,1864.3,1841.3,1848.3
