구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,3.0,3.0,3.0,3.0
임원,임원,이사,상임 현원,3.0,2.0,2.0,3.0,3.0,3.0
임원,임원,이사,비상임,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),1405.0,1449.0,1536.0,1553.0,1609.0,1610.0
정규직,일반 정규직,정원,(별도정원),8.0,11.0,1.0,1.0,1.0,5.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1166.25,1350.38,1452.25,1545.25,1603.5,1606.75
정규직,일반 정규직,현원,전일제,1156.0,1319.0,1445.0,1538.0,1597.0,1601.0
정규직,일반 정규직,현원,단시간,10.25,31.375,7.25,7.25,6.5,5.75
정규직,무기 계약직,정원,계(C),33.0,48.0,49.0,49.0,49.0,43.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,48.0,40.0,39.0,42.0,38.0,36.5
정규직,무기 계약직,현원,전일제,48.0,40.0,39.0,42.0,38.0,35.0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0.0,0.0,1.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),1443.0,1502.0,1590.0,1607.0,1663.0,1658.0
