구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,0.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,8.0,8.0,8.0,8.0,8.0,8.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),187.0,194.0,197.0,211.0,232.0,232.0
정규직,일반 정규직,정원,(별도정원),4.0,4.0,3.0,2.0,4.0,4.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,178.75,181.35,185.9,206.9,214.5,225.75
정규직,일반 정규직,현원,전일제,178.0,180.0,184.0,205.0,213.0,225.0
정규직,일반 정규직,현원,단시간,0.75,1.35,1.9,1.9,1.5,0.75
정규직,무기 계약직,정원,계(C),189.0,189.0,189.0,189.0,189.0,189.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,167.85,167.25,170.25,170.75,172.5,180.85
정규직,무기 계약직,현원,전일제,165.0,165.0,168.0,164.0,165.0,175.0
정규직,무기 계약직,현원,단시간,2.85,2.25,2.25,6.75,7.5,5.85
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),378.0,385.0,388.0,402.0,423.0,423.0
