구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1,1,1
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1,1,1
임원,임원,기관장,비상임,0.0,0.0,0.0,0,0,0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0,0,0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0,0,0
임원,임원,이사,비상임,14.0,14.0,14.0,14,14,14
임원,임원,감사,상임 정원,0.0,0.0,0.0,0,0,0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0,0,0
임원,임원,감사,비상임,1.0,1.0,1.0,1,1,1
임원,임원,기타,기타,0.0,0.0,0.0,0,0,0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1.0,1.0,1,1,1
정규직,일반 정규직,정원,계(B),55.0,60.0,63.0,63,65,65
정규직,일반 정규직,정원,(별도정원),0.0,0.0,0.0,0,0,1
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0,0,0
정규직,일반 정규직,현원,계,48.5,47.65,53.25,52,54,60
정규직,일반 정규직,현원,전일제,48.0,46.0,51.0,50,53,59
정규직,일반 정규직,현원,단시간,0.5,1.65,2.25,2,1,1
정규직,무기 계약직,정원,계(C),0.0,0.0,0.0,0,0,0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0,0,0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0,0,0
정규직,무기 계약직,현원,계,0.0,0.0,0.0,0,0,0
정규직,무기 계약직,현원,전일제,0.0,0.0,0.0,0,0,0
정규직,무기 계약직,현원,단시간,0.0,0.0,0.0,0,0,0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),56.0,61.0,64.0,64,66,66
