구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,3.0,3.0,4.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,3.0,3.0,3.0,4.0,4.0,4.0
임원,임원,이사,비상임,6.0,6.0,6.0,5.0,5.0,6.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,6.0,6.0,6.0,6.0
정규직,일반 정규직,정원,계(B),3969.0,4070.0,4092.0,4178.0,4257.0,4157.0
정규직,일반 정규직,정원,(별도정원),175.0,146.0,108.0,72.0,93.0,106.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,43.0,43.0,43.0
정규직,일반 정규직,현원,계,3836.75,4016.13,3916.63,4120.25,4212.25,4126.38
정규직,일반 정규직,현원,전일제,3833.0,4014.0,3910.0,4116.0,4207.0,4122.0
정규직,일반 정규직,현원,단시간,3.75,2.13,6.63,4.25,5.25,4.38
정규직,무기 계약직,정원,계(C),434.0,441.0,441.0,441.0,441.0,400.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,346.25,318.75,382.0,367.88,366.38,349.5
정규직,무기 계약직,현원,전일제,345.0,318.0,379.0,366.0,363.0,348.0
정규직,무기 계약직,현원,단시간,1.25,0.75,3.0,1.88,3.38,1.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),4408.0,4516.0,4539.0,4625.0,4704.0,4563.0
