구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,4.0,11,11.0,11.0,11.0,9.0
임원,임원,감사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1.0,1,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),114.0,114,118.0,118.0,140.0,141.0
정규직,일반 정규직,정원,(별도정원),0.0,0,0.0,0.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,85.5,97,93.5,103.63,113.88,124.5
정규직,일반 정규직,현원,전일제,84.0,95,92.0,102.0,111.0,116.0
정규직,일반 정규직,현원,단시간,1.5,2,1.5,1.63,2.88,8.5
정규직,무기 계약직,정원,계(C),256.0,256,256.0,256.0,226.0,226.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,225.0,207,208.0,198.0,199.0,183.0
정규직,무기 계약직,현원,전일제,39.0,27,28.0,29.0,29.0,27.0
정규직,무기 계약직,현원,단시간,186.0,180,180.0,169.0,170.0,156.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),371.0,371,375.0,375.0,367.0,368.0
