구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,0.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,9,9.0,9.0,9.0,9.0,9.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),1,1.0,1.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),201,204.0,204.0,212.0,212.0,211.0
정규직,일반 정규직,정원,(별도정원),0,0.0,0.0,6.0,6.0,5.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,196,196.88,193.25,202.38,200.76,198.75
정규직,일반 정규직,현원,전일제,194,195.0,192.0,200.37,198.0,198.0
정규직,일반 정규직,현원,단시간,2,1.88,1.25,2.01,2.76,0.75
정규직,무기 계약직,정원,계(C),19,23.0,20.0,16.0,17.0,14.0
정규직,무기 계약직,정원,(별도정원),3,7.0,4.0,0.0,1.0,1.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,17,22.0,19.0,11.63,10.0,11.0
정규직,무기 계약직,현원,전일제,17,22.0,19.0,11.63,10.0,11.0
정규직,무기 계약직,현원,단시간,0,0.0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),221,228.0,225.0,229.0,230.0,226.0
