구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,14.0,14,13.0,14.0,13.0,14.0
임원,임원,감사,상임 정원,1.0,1,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,0.0,1,1.0,1.0,0.0,1.0
임원,임원,감사,비상임,0.0,0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),3104.0,3138,3162.0,3174.0,3216.0,3210.0
정규직,일반 정규직,정원,(별도정원),69.0,52,76.0,81.0,103.0,101.0
정규직,일반 정규직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,2962.1,2965,3002.8,3097.8,3091.5,3095.9
정규직,일반 정규직,현원,전일제,2957.0,2958,2995.0,3090.0,3085.0,3091.0
정규직,일반 정규직,현원,단시간,5.1,7,7.8,7.8,6.5,4.9
정규직,무기 계약직,정원,계(C),256.0,290,290.0,290.0,290.0,220.0
정규직,무기 계약직,정원,(별도정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,239.0,232,258.0,259.0,253.0,235.0
정규직,무기 계약직,현원,전일제,239.0,232,258.0,259.0,253.0,235.0
정규직,무기 계약직,현원,단시간,0.0,0,0.0,0.0,0.0,0.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),3362.0,3430,3454.0,3466.0,3508.0,3432.0
