구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,5.0,5.0,5.0,5.0,5.0,5.0
임원,임원,이사,상임 현원,5.0,5.0,5.0,5.0,5.0,4.0
임원,임원,이사,비상임,9.0,9.0,9.0,9.0,9.0,9.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),7.0,7.0,7.0,7.0,7.0,7.0
정규직,일반 정규직,정원,계(B),15057.0,15357.0,15277.0,15511.0,15523.0,15151.0
정규직,일반 정규직,정원,(별도정원),1170.0,1042.0,730.0,763.0,657.0,575.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,14640.75,15126.25,15139.0,15121.63,15217.63,15059.63
정규직,일반 정규직,현원,전일제,14483.0,14892.0,14843.0,14826.0,14924.0,14716.0
정규직,일반 정규직,현원,단시간,157.75,234.25,296.0,295.63,293.63,343.63
정규직,무기 계약직,정원,계(C),22.0,781.0,797.0,808.0,810.0,774.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,21.0,638.5,615.75,710.0,738.13,728.88
정규직,무기 계약직,현원,전일제,21.0,618.0,596.0,691.0,718.0,707.0
정규직,무기 계약직,현원,단시간,0.0,20.5,19.75,19.0,20.13,21.88
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),15086.0,16145.0,16081.0,16326.0,16340.0,15932.0
