구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,0.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2.0,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,비상임,10.0,10.0,9.0,10.0,9.0,11.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,0.0,0.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3.0,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),443.0,457.0,462.0,470.0,463.0,473.0
정규직,일반 정규직,정원,(별도정원),2.0,4.0,2.0,1.0,0.0,1.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,419.13,429.75,466.38,471.69,453.44,469.5
정규직,일반 정규직,현원,전일제,413.0,419.0,445.0,443.0,422.0,443.0
정규직,일반 정규직,현원,단시간,6.13,10.75,21.38,28.69,31.44,26.5
정규직,무기 계약직,정원,계(C),274.0,274.0,274.0,274.0,274.0,272.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,210.5,242.0,244.88,245.13,238.0,238.63
정규직,무기 계약직,현원,전일제,202.0,231.0,235.0,238.0,231.0,229.0
정규직,무기 계약직,현원,단시간,8.5,11.0,9.88,7.13,7.0,9.63
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),720.0,734.0,739.0,747.0,740.0,748.0
