구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 정원,1.0,1.0,1.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,1.0,1.0,1.0,0.0,0.0,0.0
임원,임원,감사,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,1.0,1.0,1.0
정규직,일반 정규직,정원,계(B),2303.0,2274.0,2239.0,2208.0,2183.0,2170.0
정규직,일반 정규직,정원,(별도정원),39.0,50.0,50.0,50.0,54.0,71.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,2177.93,2188.96,2152.56,2130.6,2108.45,2105.33
정규직,일반 정규직,현원,전일제,2173.0,2187.0,2146.0,2127.0,2104.0,2100.0
정규직,일반 정규직,현원,단시간,4.93,1.96,6.56,3.6,4.45,5.33
정규직,무기 계약직,정원,계(C),30.0,126.0,126.0,128.0,128.0,128.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,23.0,23.75,104.0,113.0,117.63,122.5
정규직,무기 계약직,현원,전일제,23.0,23.0,104.0,113.0,116.0,122.0
정규직,무기 계약직,현원,단시간,0.0,0.75,0.0,0.0,1.63,0.5
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2335.0,2402.0,2367.0,2337.0,2312.0,2299.0
