구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,4.0,4.0,4.0,4.0,4.0,4.0
임원,임원,이사,상임 현원,4.0,4.0,3.0,4.0,4.0,4.0
임원,임원,이사,비상임,6.0,6.0,6.0,6.0,6.0,6.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),5.0,5.0,5.0,5.0,5.0,5.0
정규직,일반 정규직,정원,계(B),1930.0,1995.0,2044.0,2071.0,2126.0,2140.0
정규직,일반 정규직,정원,(별도정원),44.0,48.0,61.0,71.0,61.0,83.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,1838.63,1832.5,1872.0,2006.0,2049.75,2078.88
정규직,일반 정규직,현원,전일제,1829.0,1815.0,1847.0,1978.0,2018.0,2043.0
정규직,일반 정규직,현원,단시간,9.63,17.5,25.0,28.0,31.75,35.88
정규직,무기 계약직,정원,계(C),1000.0,1001.0,981.0,981.0,981.0,898.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,822.38,897.63,881.88,905.0,907.5,846.25
정규직,무기 계약직,현원,전일제,701.0,884.0,723.0,750.0,757.0,701.0
정규직,무기 계약직,현원,단시간,121.38,13.63,158.88,155.0,150.5,145.25
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),2935.0,3001.0,3030.0,3057.0,3112.0,3043.0
