구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,2,2.0,2.0,2.0,2.0,2.0
임원,임원,이사,상임 현원,2,2.0,2.0,2.0,2.0,1.0
임원,임원,이사,비상임,6,7.0,7.0,7.0,8.0,8.0
임원,임원,감사,상임 정원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),3,3.0,3.0,3.0,3.0,3.0
정규직,일반 정규직,정원,계(B),457,481.0,482.0,515.0,510.0,507.0
정규직,일반 정규직,정원,(별도정원),33,24.0,12.0,17.0,28.0,25.0
정규직,일반 정규직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,436,468.0,475.18,500.38,500.1,481.3
정규직,일반 정규직,현원,전일제,433,465.0,470.0,496.0,496.0,476.0
정규직,일반 정규직,현원,단시간,3,3.0,5.18,4.38,4.1,5.3
정규직,무기 계약직,정원,계(C),25,28.0,28.0,28.0,26.0,26.0
정규직,무기 계약직,정원,(별도정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,23,22.5,26.0,26.5,24.5,23.0
정규직,무기 계약직,현원,전일제,23,20.0,22.0,23.0,21.0,20.0
정규직,무기 계약직,현원,단시간,0,2.5,4.0,3.5,3.5,3.0
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),485,512.0,513.0,546.0,539.0,536.0
