구분,구분.1,구분.2,구분.3,2018년,2019년,2020년,2021년,2022년,2023년 4/4분기
임원,임원,기관장,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,상임 현원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기관장,비상임,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,이사,상임 정원,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,상임 현원,0.0,1.0,1.0,1.0,1.0,1.0
임원,임원,이사,비상임,5.0,5.0,6.0,6.0,7.0,7.0
임원,임원,감사,상임 정원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,상임 현원,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,감사,비상임,1.0,1.0,1.0,1.0,1.0,1.0
임원,임원,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0
임원,임원,상임임원 정원(A),상임임원 정원(A),2.0,2.0,2.0,2.0,2.0,2.0
정규직,일반 정규직,정원,계(B),300.0,312.0,312.0,315.0,318.0,314.0
정규직,일반 정규직,정원,(별도정원),8.0,9.0,7.0,4.0,7.0,8.0
정규직,일반 정규직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,일반 정규직,현원,계,284.0,296.38,306.63,307.0,314.25,320.5
정규직,일반 정규직,현원,전일제,275.0,289.0,303.0,304.0,306.0,316.0
정규직,일반 정규직,현원,단시간,9.0,7.375,3.625,3.0,8.25,4.5
정규직,무기 계약직,정원,계(C),62.0,91.0,93.0,93.0,96.0,96.0
정규직,무기 계약직,정원,(별도정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,정원,(탄력정원),0.0,0.0,0.0,0.0,0.0,0.0
정규직,무기 계약직,현원,계,59.25,91.0,91.63,90.75,94.25,92.38
정규직,무기 계약직,현원,전일제,58.0,89.0,87.0,87.0,93.0,91.0
정규직,무기 계약직,현원,단시간,1.25,2.0,4.625,3.75,1.25,1.375
임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),임직원 총계 (A+B+C),364.0,405.0,407.0,410.0,416.0,412.0
